[11:00 am] Cook C Ready
[11:00 am] 	Cook D Ready
[11:01 am] Cook C: Preparing order (Waiter U, Customer 1, Count 4)
[01:41 pm] 	Cook D: Preparing order (Waiter V, Customer 42, Count 1)
[01:46 pm] 	Cook D: Prepared order (Waiter V, Customer 42, Count 1)
[01:49 pm] Cook C: Preparing order (Waiter W, Customer 43, Count 1)
[01:54 pm] 	Cook D: Preparing order (Waiter X, Customer 44, Count 3)
[01:54 pm] Cook C: Prepared order (Waiter W, Customer 43, Count 1)
[01:54 pm] Cook C: Preparing order (Waiter Y, Customer 45, Count 1)
[01:59 pm] Cook C: Prepared order (Waiter Y, Customer 45, Count 1)
[01:59 pm] Cook C: Preparing order (Waiter U, Customer 46, Count 1)
[02:04 pm] Cook C: Prepared order (Waiter U, Customer 46, Count 1)
[02:04 pm] Cook C: Preparing order (Waiter V, Customer 47, Count 1)
[02:09 pm] 	Cook D: Prepared order (Waiter X, Customer 44, Count 3)
[02:09 pm] Cook C: Prepared order (Waiter V, Customer 47, Count 1)
[02:10 pm] 	Cook D: Preparing order (Waiter W, Customer 48, Count 2)
[02:10 pm] Cook C: Preparing order (Waiter X, Customer 49, Count 1)
[02:15 pm] Cook C: Prepared order (Waiter X, Customer 49, Count 1)
[02:15 pm] Cook C: Preparing order (Waiter Y, Customer 50, Count 2)
[02:20 pm] 	Cook D: Prepared order (Waiter W, Customer 48, Count 2)
[02:20 pm] 	Cook D: Preparing order (Waiter U, Customer 51, Count 1)
[02:25 pm] 	Cook D: Prepared order (Waiter U, Customer 51, Count 1)
[02:25 pm] 	Cook D: Preparing order (Waiter V, Customer 52, Count 2)
[02:25 pm] Cook C: Prepared order (Waiter Y, Customer 50, Count 2)
[02:30 pm] Cook C: Preparing order (Waiter W, Customer 54, Count 1)
[02:35 pm] 	Cook D: Prepared order (Waiter V, Customer 52, Count 2)
[02:35 pm] 	Cook D: Preparing order (Waiter X, Customer 55, Count 1)
[02:35 pm] Cook C: Prepared order (Waiter W, Customer 54, Count 1)
[02:39 pm] Cook C: Preparing order (Waiter Y, Customer 56, Count 3)
[02:40 pm] 	Cook D: Prepared order (Waiter X, Customer 55, Count 1)
[02:45 pm] 	Cook D: Preparing order (Waiter U, Customer 57, Count 1)
[02:50 pm] 	Cook D: Prepared order (Waiter U, Customer 57, Count 1)
[02:50 pm] 	Cook D: Preparing order (Waiter V, Customer 58, Count 1)
[02:54 pm] Cook C: Prepared order (Waiter Y, Customer 56, Count 3)
[02:54 pm] Cook C: Preparing order (Waiter W, Customer 59, Count 1)
[02:55 pm] 	Cook D: Prepared order (Waiter V, Customer 58, Count 1)
[02:59 pm] Cook C: Prepared order (Waiter W, Customer 59, Count 1)
[03:00 pm] 	Cook D: Preparing order (Waiter X, Customer 60, Count 2)
[03:10 pm] 	Cook D: Prepared order (Waiter X, Customer 60, Count 2)
[03:10 pm] 	Cook D: leaving
[03:40 pm] Cook C: Preparing order (Waiter U, Customer 0, Count 0)
[03:40 pm] Cook C: Prepared order (Waiter U, Customer 0, Count 0)
[03:40 pm] Cook C: leaving
